v,t,filtered_v
0.00029,1.308058,0.293739
0.00038,1.312058,0.38048
0.00037,1.316058,0.373128
0.0003,1.320059,0.295354
0.00024,1.324059,0.240768
0.00022,1.328059,0.217122
0.00033,1.332059,0.328228
0.00025,1.336059,0.249856
0.00019,1.34006,0.190218
0.00024,1.34406,0.243993
0.00025,1.34806,0.246909
0.00026,1.35206,0.257001
0.00023,1.35606,0.229777
0.00018,1.36006,0.175866
0.00018,1.364061,0.176378
0.00025,1.368061,0.246115
9e-05,1.372061,0.092504
0.00014,1.376061,0.142638
0.00015,1.380061,0.152968
0.00019,1.384062,0.190743
0.00022,1.388062,0.219346
0.00017,1.392062,0.172526
0.00018,1.396062,0.180876
0.00013,1.400062,0.130612
0.00012,1.404062,0.115127
0.00011,1.408063,0.107278
0.0001,1.412063,0.096587
7e-05,1.416063,0.065992
0.00012,1.420063,0.119253
0.0001,1.424063,0.100581
0.0001,1.428063,0.100003
-2e-05,1.432064,-0.015536
-1e-05,1.436064,-0.01226
0.0,1.440064,0.001797
8e-05,1.444064,0.083509
5e-05,1.448064,0.050095
-5e-05,1.452065,-0.046433
-5e-05,1.456065,-0.046124
-5e-05,1.460065,-0.045982
-6e-05,1.464065,-0.0562
-6e-05,1.468065,-0.062924
-6e-05,1.472065,-0.062664
-0.00013,1.476066,-0.126365
-4e-05,1.480066,-0.037911
-6e-05,1.484066,-0.056788
-5e-05,1.488066,-0.051571
-0.00014,1.492066,-0.140634
-8e-05,1.496066,-0.081268
-0.00012,1.500067,-0.121731
-6e-05,1.504067,-0.055426
-0.00017,1.508067,-0.168069
-0.00014,1.512067,-0.14462
-0.00016,1.516067,-0.157681
-6e-05,1.520068,-0.05518
-0.00013,1.524068,-0.131583
-0.00032,1.528068,-0.316253
-0.00011,1.532068,-0.114332
-0.00022,1.536068,-0.215095
-0.00015,1.540068,-0.153714
-0.00019,1.544069,-0.193935
-0.00018,1.548069,-0.177782
-0.00023,1.552069,-0.227602
-0.00023,1.556069,-0.22871
-0.00033,1.560069,-0.330751
-0.00025,1.56407,-0.245552
-0.00031,1.56807,-0.306522
-0.00025,1.57207,-0.254708
-0.00038,1.57607,-0.381095
-0.00019,1.58007,-0.185207
-0.00031,1.58407,-0.308307
-0.00035,1.588071,-0.348338
-0.00029,1.592071,-0.287759
-0.00034,1.596071,-0.340439
-0.00038,1.600071,-0.38164
-0.00034,1.604071,-0.343394
-0.00031,1.608071,-0.306107
-0.00026,1.612072,-0.258002
-0.00034,1.616072,-0.344254
-0.00035,1.620072,-0.349396
-0.00033,1.624072,-0.325127
-0.00031,1.628072,-0.311317
-0.00045,1.632073,-0.445246
-0.00037,1.636073,-0.374812
-0.00042,1.640073,-0.416543
-0.00038,1.644073,-0.375801
-0.00039,1.648073,-0.394865
-0.00033,1.652073,-0.334424
-0.00034,1.656074,-0.340662
-0.00046,1.660074,-0.460479
-0.00035,1.664074,-0.350898
-0.00039,1.668074,-0.393535
-0.00027,1.672074,-0.267709
-0.00049,1.676074,-0.486262
-0.00041,1.680075,-0.410035
-0.00043,1.684075,-0.431377
-0.00041,1.688075,-0.41325
-0.00035,1.692075,-0.35392
-0.00032,1.696075,-0.320791
-0.00048,1.700076,-0.476544
-0.00041,1.704076,-0.412277
-0.00035,1.708076,-0.348686
-0.00039,1.712076,-0.391894
-0.00035,1.716076,-0.351507
-0.00037,1.720076,-0.370418
-0.00048,1.724077,-0.483424
-0.00038,1.728077,-0.383378
-0.00038,1.732077,-0.37889
-0.00036,1.736077,-0.360116
-0.00033,1.740077,-0.330868
-0.00034,1.744078,-0.336005
-0.00031,1.748078,-0.310823
-0.00032,1.752078,-0.318074
-0.00037,1.756078,-0.370299
-0.00035,1.760078,-0.348063
-0.00037,1.764078,-0.370999
-0.00035,1.768079,-0.352775
-0.00034,1.772079,-0.340141
-0.00039,1.776079,-0.394944
-0.00036,1.780079,-0.35953
-0.00032,1.784079,-0.319677
-0.00038,1.788079,-0.377929
-0.00033,1.79208,-0.332609
-0.00031,1.79608,-0.312566
-0.00033,1.80008,-0.325618
-0.00037,1.80408,-0.366737
-0.00028,1.80808,-0.281601
-0.00035,1.812081,-0.346227
-0.00025,1.816081,-0.246044
-0.00027,1.820081,-0.270267
-0.00022,1.824081,-0.224918
-0.00028,1.828081,-0.281743
-0.00028,1.832081,-0.277342
-0.00027,1.836082,-0.267564
-0.00026,1.840082,-0.255909
-0.00018,1.844082,-0.17935
-0.00022,1.848082,-0.224855
-0.00022,1.852082,-0.216437
-0.00023,1.856082,-0.231872
-0.00024,1.860083,-0.235228
-0.00027,1.864083,-0.267871
-0.00016,1.868083,-0.15861
-0.00023,1.872083,-0.233943
-0.00013,1.876083,-0.131426
-0.00016,1.880084,-0.156229
-8e-05,1.884084,-0.084586
-0.00016,1.888084,-0.157806
-9e-05,1.892084,-0.086167
-0.00011,1.896084,-0.114014
-3e-05,1.900084,-0.029232
-0.00021,1.904085,-0.213099
-7e-05,1.908085,-0.074907
1e-05,1.912085,0.012712
-4e-05,1.916085,-0.03522
-0.00011,1.920085,-0.111134
-7e-05,1.924086,-0.069755
-1e-05,1.928086,-0.006072
-9e-05,1.932086,-0.090307
-0.00012,1.936086,-0.117006
-3e-05,1.940086,-0.030711
0.0,1.944086,0.004116
-3e-05,1.948087,-0.025375
-0.00011,1.952087,-0.108014
-3e-05,1.956087,-0.033553
7e-05,1.960087,0.066191
-1e-05,1.964087,-0.006178
7e-05,1.968087,0.069778
3e-05,1.972088,0.027562
5e-05,1.976088,0.052576
2e-05,1.980088,0.023592
1e-05,1.984088,0.011659
7e-05,1.988088,0.070192
7e-05,1.992089,0.073162
0.00013,1.996089,0.125074
0.00013,2.000089,0.128666
0.00016,2.004089,0.158224
0.0002,2.008089,0.202339
0.00017,2.012089,0.170502
1e-05,2.01609,0.008721
0.00015,2.02009,0.154927
0.00012,2.02409,0.119106
0.00017,2.02809,0.169216
9e-05,2.03209,0.090186
0.00026,2.03609,0.258385
0.0002,2.040091,0.203726
0.00013,2.044091,0.134814
0.00031,2.048091,0.312673
0.00023,2.052091,0.228486
0.00015,2.056091,0.154885
0.0003,2.060092,0.303612
0.00037,2.064092,0.374221
0.00023,2.068092,0.226964
0.00027,2.072092,0.266922
0.00031,2.076092,0.312243
0.00028,2.080092,0.276513
0.00024,2.084093,0.244464
0.00032,2.088093,0.320293
0.00045,2.092093,0.448435
0.00087,2.096093,0.87007
0.00157,2.100093,1.573688
0.00097,2.104094,0.965442
0.00039,2.108094,0.387877
0.00037,2.112094,0.372743
0.00033,2.116094,0.329806
0.00039,2.120094,0.38917
0.00037,2.124094,0.365258
0.0003,2.128095,0.2983
0.00037,2.132095,0.374314
0.00043,2.136095,0.426807
0.00034,2.140095,0.344216
0.00037,2.144095,0.365391
0.00031,2.148095,0.313436
0.00036,2.152096,0.356767
0.00046,2.156096,0.455396
0.00037,2.160096,0.369667
0.00038,2.164096,0.378006
0.00036,2.168096,0.358417
0.00043,2.172097,0.427895
0.00035,2.176097,0.350182
0.00047,2.180097,0.472662
0.00036,2.184097,0.357571
0.00043,2.188097,0.431644
0.00038,2.192097,0.380816
0.0004,2.196098,0.400867
0.00034,2.200098,0.340109
0.0003,2.204098,0.299401
0.00034,2.208098,0.342565
0.00042,2.212098,0.421821
0.00038,2.216098,0.376456
0.00046,2.220099,0.46081
0.00043,2.224099,0.427526
0.00037,2.228099,0.369667
0.00037,2.232099,0.366263
0.00038,2.236099,0.377926
0.00045,2.2401,0.452978
0.00036,2.2441,0.36384
0.00038,2.2481,0.376256
0.00051,2.2521,0.514247
0.00045,2.2561,0.449879
0.00035,2.2601,0.352895
0.00034,2.264101,0.344666
0.00035,2.268101,0.349976
0.00033,2.272101,0.331741
0.00034,2.276101,0.336816
0.00033,2.280101,0.333917
0.0003,2.284102,0.302313
0.00029,2.288102,0.292144
0.00029,2.292102,0.292126
0.0004,2.296102,0.400996
0.00033,2.300102,0.329863
0.00039,2.304102,0.391619
0.00034,2.308103,0.342149
0.00038,2.312103,0.383623
0.00031,2.316103,0.305582
0.00029,2.320103,0.288244
0.00028,2.324103,0.282377
0.00017,2.328103,0.173177
0.00021,2.332104,0.207784
0.00027,2.336104,0.270696
0.00017,2.340104,0.165502
0.00029,2.344104,0.289759
0.00019,2.348104,0.191218
0.00021,2.352105,0.210745
0.00023,2.356105,0.234843
0.00012,2.360105,0.11654
0.00027,2.364105,0.267901
0.00017,2.368105,0.17357
0.00012,2.372105,0.11732
0.00017,2.376106,0.17015
0.00021,2.380106,0.20534
0.00013,2.384106,0.127048
0.00013,2.388106,0.126852
0.0001,2.392106,0.098761
0.00016,2.396106,0.162344
0.0002,2.400107,0.201933
0.00015,2.404107,0.150773
0.00021,2.408107,0.213633
0.00018,2.412107,0.181518
8e-05,2.416107,0.078261
0.0001,2.420108,0.104136
9e-05,2.424108,0.092942
0.00012,2.428108,0.124935
-3e-05,2.432108,-0.025224
9e-05,2.436108,0.091597
7e-05,2.440108,0.065063
7e-05,2.444109,0.069653
-8e-05,2.448109,-0.078901
9e-05,2.452109,0.085696
1e-05,2.456109,0.011044
-1e-05,2.460109,-0.008507
-1e-05,2.46411,-0.010453
1e-05,2.46811,0.011618
1e-05,2.47211,0.010119
-7e-05,2.47611,-0.065178
-9e-05,2.48011,-0.093681
-0.0001,2.48411,-0.104408
-0.00011,2.488111,-0.113526
-0.00014,2.492111,-0.13669
-5e-05,2.496111,-0.047901
-4e-05,2.500111,-0.039179
-9e-05,2.504111,-0.093931
-0.00016,2.508111,-0.157751
-0.00017,2.512112,-0.173272
-0.00012,2.516112,-0.122633
-0.0002,2.520112,-0.199445
-0.00019,2.524112,-0.191672
-0.00011,2.528112,-0.113333
-0.00023,2.532113,-0.231228
-0.00024,2.536113,-0.242567
-0.0002,2.540113,-0.200648
-0.00016,2.544113,-0.163966
-0.00018,2.548113,-0.184905
-0.00029,2.552113,-0.292012
-0.00026,2.556114,-0.262714
-0.00022,2.560114,-0.216009
-0.00028,2.564114,-0.282669
-0.00033,2.568114,-0.327424
-0.00032,2.572114,-0.324932
-0.00035,2.576114,-0.347774
-0.00021,2.580115,-0.20872
-0.00025,2.584115,-0.254507
-0.00025,2.588115,-0.254034
-0.00028,2.592115,-0.28296
-0.00037,2.596115,-0.366832
-0.00026,2.600116,-0.262064
-0.00035,2.604116,-0.345996
-0.0003,2.608116,-0.302216
-0.00037,2.612116,-0.366433
-0.00043,2.616116,-0.425189
-0.0004,2.620116,-0.404538
-0.00035,2.624117,-0.352816
-0.00041,2.628117,-0.411893
-0.0004,2.632117,-0.404825
-0.00037,2.636117,-0.368745
-0.00036,2.640117,-0.364506
-0.00025,2.644118,-0.249121
-0.00045,2.648118,-0.449726
-0.00034,2.652118,-0.343233
-0.00041,2.656118,-0.410515
-0.00034,2.660118,-0.343898
-0.00042,2.664118,-0.416589
-0.00042,2.668119,-0.4155
-0.00038,2.672119,-0.378525
-0.00045,2.676119,-0.445283
-0.00027,2.680119,-0.268224
-0.00043,2.684119,-0.427301
-0.00041,2.688119,-0.413979
-0.00038,2.69212,-0.376078
-0.00038,2.69612,-0.377342
-0.00034,2.70012,-0.340426
-0.00039,2.70412,-0.390454
-0.00041,2.70812,-0.412175
-0.00032,2.712121,-0.322657
-0.00032,2.716121,-0.324569
-0.0004,2.720121,-0.40483
-0.0004,2.724121,-0.398241
-0.00044,2.728121,-0.444033
-0.00037,2.732121,-0.372805
-0.00034,2.736122,-0.342764
-0.00044,2.740122,-0.442007
-0.00044,2.744122,-0.436604
-0.00037,2.748122,-0.365827
-0.00038,2.752122,-0.383843
-0.00029,2.756122,-0.291973
-0.00035,2.760123,-0.347966
-0.00029,2.764123,-0.2896
-0.00035,2.768123,-0.352328
-0.0003,2.772123,-0.296815
-0.00038,2.776123,-0.381263
-0.00037,2.780124,-0.374796
-0.00037,2.784124,-0.367491
-0.00047,2.788124,-0.468014
-0.00034,2.792124,-0.3352
-0.00034,2.796124,-0.335614
-0.00041,2.800124,-0.40722
-0.00035,2.804125,-0.352052
-0.00032,2.808125,-0.324826
-0.00028,2.812125,-0.283875
-0.00036,2.816125,-0.357169
-0.0003,2.820125,-0.297654
-0.00017,2.824126,-0.172392
-0.00027,2.828126,-0.267486
-0.00023,2.832126,-0.231562
-0.00029,2.836126,-0.288473
-0.00023,2.840126,-0.230591
-0.00028,2.844126,-0.276819
-0.00017,2.848127,-0.174269
-0.00031,2.852127,-0.311618
-0.00018,2.856127,-0.178328
-0.00023,2.860127,-0.230593
-0.00027,2.864127,-0.267965
-0.00024,2.868127,-0.238219
-0.00017,2.872128,-0.172776
-0.00027,2.876128,-0.26549
-0.00024,2.880128,-0.244625
-0.00019,2.884128,-0.191558
-9e-05,2.888128,-0.092256
-7e-05,2.892129,-0.070267
-0.0002,2.896129,-0.202668
-0.00011,2.900129,-0.107206
-7e-05,2.904129,-0.068387
-0.00012,2.908129,-0.116801
-0.00021,2.912129,-0.212633
-0.00017,2.91613,-0.167574
-4e-05,2.92013,-0.039787
-6e-05,2.92413,-0.062094
-8e-05,2.92813,-0.07547
-2e-05,2.93213,-0.022764
-0.00011,2.93613,-0.10864
-8e-05,2.940131,-0.078064
-5e-05,2.944131,-0.051442
-8e-05,2.948131,-0.078701
-4e-05,2.952131,-0.040649
1e-05,2.956131,0.00638
0.00018,2.960132,0.177791
3e-05,2.964132,0.034419
5e-05,2.968132,0.054618
0.00011,2.972132,0.109347
9e-05,2.976132,0.087338
0.00014,2.980132,0.141556
0.00011,2.984133,0.110832
0.00014,2.988133,0.137935
0.00011,2.992133,0.107796
4e-05,2.996133,0.039157
8e-05,3.000133,0.084424
4e-05,3.004134,0.044578
0.00019,3.008134,0.194825
0.0001,3.012134,0.096247
0.00016,3.016134,0.158538
0.0001,3.020134,0.097097
0.00022,3.024134,0.223157
0.00019,3.028135,0.19209
0.00028,3.032135,0.275439
0.0002,3.036135,0.199041
0.0002,3.040135,0.200618
0.0002,3.044135,0.202585
0.00022,3.048135,0.22128
0.00019,3.052136,0.185947
0.00032,3.056136,0.321935
0.00022,3.060136,0.217777
0.00027,3.064136,0.268072
0.00022,3.068136,0.21502
0.00035,3.072137,0.352373
0.00028,3.076137,0.284379
0.00029,3.080137,0.294758
0.00023,3.084137,0.229474
0.00026,3.088137,0.257011
0.00039,3.092137,0.388196
0.00091,3.096138,0.912942
0.00148,3.100138,1.482846
0.00087,3.104138,0.870237
0.00045,3.108138,0.449868
0.00037,3.112138,0.369083
0.00027,3.116138,0.273511
0.00038,3.120139,0.377249
0.00039,3.124139,0.391908
0.00025,3.128139,0.246985
0.00039,3.132139,0.394165
0.00032,3.136139,0.315579
0.00035,3.14014,0.34626
0.00034,3.14414,0.335405
0.00033,3.14814,0.327909
0.00045,3.15214,0.447807
0.00041,3.15614,0.405568
0.00037,3.16014,0.365684
0.00033,3.164141,0.326871
0.00033,3.168141,0.329389
0.00039,3.172141,0.385765
0.00043,3.176141,0.432436
0.00041,3.180141,0.406821
0.00038,3.184142,0.384493
0.0003,3.188142,0.301551
0.00035,3.192142,0.353319
0.00036,3.196142,0.364927
0.00032,3.200142,0.323699
0.0004,3.204142,0.404829
0.00039,3.208143,0.386628
0.00042,3.212143,0.419553
0.00041,3.216143,0.405042
0.00035,3.220143,0.346403
0.00044,3.224143,0.441575
0.00036,3.228143,0.362036
0.00037,3.232144,0.365067
0.00038,3.236144,0.379425
0.00035,3.240144,0.354844
0.00037,3.244144,0.369649
0.00038,3.248144,0.378274
0.0004,3.252145,0.398226
0.00035,3.256145,0.35179
0.00034,3.260145,0.343937
0.00032,3.264145,0.319887
0.00033,3.268145,0.333186
0.00039,3.272145,0.39114
0.00033,3.276146,0.331609
0.00037,3.280146,0.371839
0.00042,3.284146,0.423631
0.00032,3.288146,0.315142
0.00033,3.292146,0.327901
0.00036,3.296146,0.358243
0.0003,3.300147,0.298553
0.00029,3.304147,0.294353
0.00035,3.308147,0.353699
0.00034,3.312147,0.344067
0.00039,3.316147,0.389033
0.00035,3.320148,0.354919
0.00028,3.324148,0.284856
0.00023,3.328148,0.225318
0.00019,3.332148,0.189367
0.00031,3.336148,0.307744
0.00022,3.340148,0.217593
0.00031,3.344149,0.310534
0.00029,3.348149,0.293645
0.00023,3.352149,0.226406
0.00029,3.356149,0.286538
0.00013,3.360149,0.126503
0.0002,3.36415,0.203914
0.00018,3.36815,0.176024
0.00026,3.37215,0.25734
0.00014,3.37615,0.138983
0.00017,3.38015,0.168422
0.00022,3.38415,0.218568
0.00014,3.388151,0.137133
0.00016,3.392151,0.161372
0.00014,3.396151,0.136528
0.0001,3.400151,0.104877
0.00011,3.404151,0.113606
6e-05,3.408151,0.057365
0.00015,3.412152,0.150422
-1e-05,3.416152,-0.014683
0.00011,3.420152,0.111636
0.00017,3.424152,0.174984
8e-05,3.428152,0.078006
-4e-05,3.432153,-0.039877
0.00014,3.436153,0.141511
2e-05,3.440153,0.021232
4e-05,3.444153,0.037909
6e-05,3.448153,0.055849
-4e-05,3.452153,-0.044546
3e-05,3.456154,0.026492
-3e-05,3.460154,-0.034969
4e-05,3.464154,0.044295
-0.00015,3.468154,-0.145536
-3e-05,3.472154,-0.029574
-3e-05,3.476154,-0.027843
-1e-05,3.480155,-0.012954
-0.00016,3.484155,-0.158225
-9e-05,3.488155,-0.085451
-0.00016,3.492155,-0.157706
-9e-05,3.496155,-0.088585
-0.00013,3.500156,-0.130987
-0.00012,3.504156,-0.11894
-8e-05,3.508156,-0.079919
-0.0001,3.512156,-0.104722
